name,source,category,path,skill_md,description
autogpt-agents,davila7,ai-research,davila7/ai-research/agents-autogpt,davila7/ai-research/agents-autogpt/SKILL.md,"Autonomous AI agent platform for building and deploying continuous agents. Use when creating visual workflow agents, deploying persistent autonomous agents, or building complex multi-step AI automation systems."
crewai-multi-agent,davila7,ai-research,davila7/ai-research/agents-crewai,davila7/ai-research/agents-crewai/SKILL.md,"Multi-agent orchestration framework for autonomous AI collaboration. Use when building teams of specialized agents working together on complex tasks, when you need role-based agent collaboration with memory, or for production workflows requiring sequential/hierarchical execution. Built without LangC"
langchain,davila7,ai-research,davila7/ai-research/agents-langchain,davila7/ai-research/agents-langchain/SKILL.md,"Framework for building LLM-powered applications with agents, chains, and RAG. Supports multiple providers (OpenAI, Anthropic, Google), 500+ integrations, ReAct agents, tool calling, memory management, and vector store retrieval. Use for building chatbots, question-answering systems, autonomous agent"
llamaindex,davila7,ai-research,davila7/ai-research/agents-llamaindex,davila7/ai-research/agents-llamaindex/SKILL.md,"Data framework for building LLM applications with RAG. Specializes in document ingestion (300+ connectors), indexing, and querying. Features vector indices, query engines, agents, and multi-modal support. Use for document Q&A, chatbots, knowledge retrieval, or building RAG pipelines. Best for data-c"
ai-agents-architect,davila7,ai-research,davila7/ai-research/ai-agents-architect,davila7/ai-research/ai-agents-architect/SKILL.md,"Expert in designing and building autonomous AI agents. Masters tool use, memory systems, planning strategies, and multi-agent orchestration. Use when: build agent, AI agent, autonomous agent, tool use, function calling."
autonomous-agent-patterns,davila7,ai-research,davila7/ai-research/autonomous-agent-patterns,davila7/ai-research/autonomous-agent-patterns/SKILL.md,"Design patterns for building autonomous coding agents. Covers tool integration, permission systems, browser automation, and human-in-the-loop workflows. Use when building AI agents, designing tool APIs, implementing permission systems, or creating autonomous coding assistants."
autonomous-agents,davila7,ai-research,davila7/ai-research/autonomous-agents,davila7/ai-research/autonomous-agents/SKILL.md,"Autonomous agents are AI systems that can independently decompose goals, plan actions, execute tools, and self-correct without constant human guidance. The challenge isn't making them capable - it's making them reliable. Every extra decision multiplies failure probability. This skill covers agent lo"
behavioral-modes,davila7,ai-research,davila7/ai-research/behavioral-modes,davila7/ai-research/behavioral-modes/SKILL.md,"AI operational modes (brainstorm, implement, debug, review, teach, ship, orchestrate). Use to adapt behavior based on task type."
Claude Code Guide,davila7,ai-research,davila7/ai-research/claude-code-guide,davila7/ai-research/claude-code-guide/SKILL.md,"Master guide for using Claude Code effectively. Includes configuration templates, prompting strategies ""Thinking"" keywords, debugging techniques, and best practices for interacting with the agent."
computer-use-agents,davila7,ai-research,davila7/ai-research/computer-use-agents,davila7/ai-research/computer-use-agents/SKILL.md,"Build AI agents that interact with computers like humans do - viewing screens, moving cursors, clicking buttons, and typing text. Covers Anthropic's Computer Use, OpenAI's Operator/CUA, and open-source alternatives. Critical focus on sandboxing, security, and handling the unique challenges of vision"
context-window-management,davila7,ai-research,davila7/ai-research/context-window-management,davila7/ai-research/context-window-management/SKILL.md,"Strategies for managing LLM context windows including summarization, trimming, routing, and avoiding context rot Use when: context window, token limit, context management, context engineering, long context."
context7-auto-research,davila7,ai-research,davila7/ai-research/context7-auto-research,davila7/ai-research/context7-auto-research/SKILL.md,Automatically fetch latest library/framework documentation for Claude Code via Context7 API
conversation-memory,davila7,ai-research,davila7/ai-research/conversation-memory,davila7/ai-research/conversation-memory/SKILL.md,"Persistent memory systems for LLM conversations including short-term, long-term, and entity-based memory Use when: conversation memory, remember, memory persistence, long-term memory, chat history."
crewai,davila7,ai-research,davila7/ai-research/crewai,davila7/ai-research/crewai/SKILL.md,"Expert in CrewAI - the leading role-based multi-agent framework used by 60% of Fortune 500 companies. Covers agent design with roles and goals, task definition, crew orchestration, process types (sequential, hierarchical, parallel), memory systems, and flows for complex workflows. Essential for buil"
data-engineer,davila7,ai-research,davila7/ai-research/data-engineer,davila7/ai-research/data-engineer/SKILL.md,"Build scalable data pipelines, modern data warehouses, and real-time streaming architectures. Implements Apache Spark, dbt, Airflow, and cloud-native data platforms."
nemo-curator,davila7,ai-research,davila7/ai-research/data-processing-nemo-curator,davila7/ai-research/data-processing-nemo-curator/SKILL.md,"GPU-accelerated data curation for LLM training. Supports text/image/video/audio. Features fuzzy deduplication (16× faster), quality filtering (30+ heuristics), semantic deduplication, PII redaction, NSFW detection. Scales across GPUs with RAPIDS. Use for preparing high-quality training datasets, cle"
ray-data,davila7,ai-research,davila7/ai-research/data-processing-ray-data,davila7/ai-research/data-processing-ray-data/SKILL.md,"Scalable data processing for ML workloads. Streaming execution across CPU/GPU, supports Parquet/CSV/JSON/images. Integrates with Ray Train, PyTorch, TensorFlow. Scales from single machine to 100s of nodes. Use for batch inference, data preprocessing, multi-modal data loading, or distributed ETL pipe"
data-scientist,davila7,ai-research,davila7/ai-research/data-scientist,davila7/ai-research/data-scientist/SKILL.md,"Expert data scientist for advanced analytics, machine learning, and statistical modeling. Handles complex data analysis, predictive modeling, and business intelligence."
datadog-cli,davila7,ai-research,davila7/ai-research/datadog-cli,davila7/ai-research/datadog-cli/SKILL.md,"Datadog CLI for searching logs, querying metrics, tracing requests, and managing dashboards. Use this when debugging production issues or working with Datadog observability."
deep-research,davila7,ai-research,davila7/ai-research/deep-research,davila7/ai-research/deep-research/SKILL.md,"Run autonomous research tasks that plan, search, read, and synthesize information into comprehensive reports."
deep-research-notebooklm,davila7,ai-research,davila7/ai-research/deep-research-notebooklm,davila7/ai-research/deep-research-notebooklm/SKILL.md,"Deep research skill powered by NotebookLM MCP. Conducts structured multi-source research (market analysis, competitive intel, trend analysis, prospect research) using Google NotebookLM as the research engine, then delivers formatted briefs and optional studio artifacts (slides, audio podcasts, video"
dispatching-parallel-agents,davila7,ai-research,davila7/ai-research/dispatching-parallel-agents,davila7/ai-research/dispatching-parallel-agents/SKILL.md,Use when facing 2+ independent tasks that can be worked on without shared state or sequential dependencies
huggingface-accelerate,davila7,ai-research,davila7/ai-research/distributed-training-accelerate,davila7/ai-research/distributed-training-accelerate/SKILL.md,"Simplest distributed training API. 4 lines to add distributed support to any PyTorch script. Unified API for DeepSpeed/FSDP/Megatron/DDP. Automatic device placement, mixed precision (FP16/BF16/FP8). Interactive config, single launch command. HuggingFace ecosystem standard."
deepspeed,davila7,ai-research,davila7/ai-research/distributed-training-deepspeed,davila7/ai-research/distributed-training-deepspeed/SKILL.md,"Expert guidance for distributed training with DeepSpeed - ZeRO optimization stages, pipeline parallelism, FP16/BF16/FP8, 1-bit Adam, sparse attention"
training-llms-megatron,davila7,ai-research,davila7/ai-research/distributed-training-megatron-core,davila7/ai-research/distributed-training-megatron-core/SKILL.md,"Trains large language models (2B-462B parameters) using NVIDIA Megatron-Core with advanced parallelism strategies. Use when training models >1B parameters, need maximum GPU efficiency (47% MFU on H100), or require tensor/pipeline/sequence/context/expert parallelism. Production-ready framework used f"
pytorch-fsdp,davila7,ai-research,davila7/ai-research/distributed-training-pytorch-fsdp,davila7/ai-research/distributed-training-pytorch-fsdp/SKILL.md,"Expert guidance for Fully Sharded Data Parallel training with PyTorch FSDP - parameter sharding, mixed precision, CPU offloading, FSDP2"
pytorch-lightning,davila7,ai-research,davila7/ai-research/distributed-training-pytorch-lightning,davila7/ai-research/distributed-training-pytorch-lightning/SKILL.md,"High-level PyTorch framework with Trainer class, automatic distributed training (DDP/FSDP/DeepSpeed), callbacks system, and minimal boilerplate. Scales from laptop to supercomputer with same code. Use when you want clean training loops with built-in best practices."
ray-train,davila7,ai-research,davila7/ai-research/distributed-training-ray-train,davila7/ai-research/distributed-training-ray-train/SKILL.md,"Distributed training orchestration across clusters. Scales PyTorch/TensorFlow/HuggingFace from laptop to 1000s of nodes. Built-in hyperparameter tuning with Ray Tune, fault tolerance, elastic scaling. Use when training massive models across multiple machines or running distributed hyperparameter swe"
knowledge-distillation,davila7,ai-research,davila7/ai-research/emerging-techniques-knowledge-distillation,davila7/ai-research/emerging-techniques-knowledge-distillation/SKILL.md,"Compress large language models using knowledge distillation from teacher to student models. Use when deploying smaller models with retained performance, transferring GPT-4 capabilities to open-source models, or reducing inference costs. Covers temperature scaling, soft targets, reverse KLD, logit di"
long-context,davila7,ai-research,davila7/ai-research/emerging-techniques-long-context,davila7/ai-research/emerging-techniques-long-context/SKILL.md,"Extend context windows of transformer models using RoPE, YaRN, ALiBi, and position interpolation techniques. Use when processing long documents (32k-128k+ tokens), extending pre-trained models beyond original context limits, or implementing efficient positional encodings. Covers rotary embeddings, a"
model-merging,davila7,ai-research,davila7/ai-research/emerging-techniques-model-merging,davila7/ai-research/emerging-techniques-model-merging/SKILL.md,"Merge multiple fine-tuned models using mergekit to combine capabilities without retraining. Use when creating specialized models by blending domain-specific expertise (math + coding + chat), improving performance beyond single models, or experimenting rapidly with model variants. Covers SLERP, TIES-"
model-pruning,davila7,ai-research,davila7/ai-research/emerging-techniques-model-pruning,davila7/ai-research/emerging-techniques-model-pruning/SKILL.md,"Reduce LLM size and accelerate inference using pruning techniques like Wanda and SparseGPT. Use when compressing models without retraining, achieving 50% sparsity with minimal accuracy loss, or enabling faster inference on hardware accelerators. Covers unstructured pruning, structured pruning, N:M s"
moe-training,davila7,ai-research,davila7/ai-research/emerging-techniques-moe-training,davila7/ai-research/emerging-techniques-moe-training/SKILL.md,"Train Mixture of Experts (MoE) models using DeepSpeed or HuggingFace. Use when training large-scale models with limited compute (5× cost reduction vs dense models), implementing sparse architectures like Mixtral 8x7B or DeepSeek-V3, or scaling model capacity without proportional compute increase. Co"
speculative-decoding,davila7,ai-research,davila7/ai-research/emerging-techniques-speculative-decoding,davila7/ai-research/emerging-techniques-speculative-decoding/SKILL.md,"Accelerate LLM inference using speculative decoding, Medusa multiple heads, and lookahead decoding techniques. Use when optimizing inference speed (1.5-3.6× speedup), reducing latency for real-time applications, or deploying models with limited compute. Covers draft models, tree-based attention, Jac"
evaluating-code-models,davila7,ai-research,davila7/ai-research/evaluation-bigcode-evaluation-harness,davila7/ai-research/evaluation-bigcode-evaluation-harness/SKILL.md,"Evaluates code generation models across HumanEval, MBPP, MultiPL-E, and 15+ benchmarks with pass@k metrics. Use when benchmarking code models, comparing coding abilities, testing multi-language support, or measuring code generation quality. Industry standard from BigCode Project used by HuggingFace "
evaluating-llms-harness,davila7,ai-research,davila7/ai-research/evaluation-lm-evaluation-harness,davila7/ai-research/evaluation-lm-evaluation-harness/SKILL.md,"Evaluates LLMs across 60+ academic benchmarks (MMLU, HumanEval, GSM8K, TruthfulQA, HellaSwag). Use when benchmarking model quality, comparing models, reporting academic results, or tracking training progress. Industry standard used by EleutherAI, HuggingFace, and major labs. Supports HuggingFace, vL"
nemo-evaluator-sdk,davila7,ai-research,davila7/ai-research/evaluation-nemo-evaluator,davila7/ai-research/evaluation-nemo-evaluator/SKILL.md,"Evaluates LLMs across 100+ benchmarks from 18+ harnesses (MMLU, HumanEval, GSM8K, safety, VLM) with multi-backend execution. Use when needing scalable evaluation on local Docker, Slurm HPC, or cloud platforms. NVIDIA's enterprise-grade platform with container-first architecture for reproducible benc"
axolotl,davila7,ai-research,davila7/ai-research/fine-tuning-axolotl,davila7/ai-research/fine-tuning-axolotl/SKILL.md,"Expert guidance for fine-tuning LLMs with Axolotl - YAML configs, 100+ models, LoRA/QLoRA, DPO/KTO/ORPO/GRPO, multimodal support"
llama-factory,davila7,ai-research,davila7/ai-research/fine-tuning-llama-factory,davila7/ai-research/fine-tuning-llama-factory/SKILL.md,"Expert guidance for fine-tuning LLMs with LLaMA-Factory - WebUI no-code, 100+ models, 2/3/4/5/6/8-bit QLoRA, multimodal support"
peft-fine-tuning,davila7,ai-research,davila7/ai-research/fine-tuning-peft,davila7/ai-research/fine-tuning-peft/SKILL.md,"Parameter-efficient fine-tuning for LLMs using LoRA, QLoRA, and 25+ methods. Use when fine-tuning large models (7B-70B) with limited GPU memory, when you need to train <1% of parameters with minimal accuracy loss, or for multi-adapter serving. HuggingFace's official library integrated with transform"
unsloth,davila7,ai-research,davila7/ai-research/fine-tuning-unsloth,davila7/ai-research/fine-tuning-unsloth/SKILL.md,"Expert guidance for fast fine-tuning with Unsloth - 2-5x faster training, 50-80% less memory, LoRA/QLoRA optimization"
gemini,davila7,ai-research,davila7/ai-research/gemini,davila7/ai-research/gemini/SKILL.md,"Use when the user asks to run Gemini CLI for code review, plan review, or big context (>200k) processing. Ideal for comprehensive analysis requiring large context windows. Uses Gemini 3 Pro by default for state-of-the-art reasoning and coding."
gepetto,davila7,ai-research,davila7/ai-research/gepetto,davila7/ai-research/gepetto/SKILL.md,"Creates detailed, sectionized implementation plans through research, stakeholder interviews, and multi-LLM review. Use when planning features that need thorough pre-implementation analysis."
llama-cpp,davila7,ai-research,davila7/ai-research/inference-serving-llama-cpp,davila7/ai-research/inference-serving-llama-cpp/SKILL.md,"Runs LLM inference on CPU, Apple Silicon, and consumer GPUs without NVIDIA hardware. Use for edge deployment, M1/M2/M3 Macs, AMD/Intel GPUs, or when CUDA is unavailable. Supports GGUF quantization (1.5-8 bit) for reduced memory and 4-10× speedup vs PyTorch on CPU."
sglang,davila7,ai-research,davila7/ai-research/inference-serving-sglang,davila7/ai-research/inference-serving-sglang/SKILL.md,"Fast structured generation and serving for LLMs with RadixAttention prefix caching. Use for JSON/regex outputs, constrained decoding, agentic workflows with tool calls, or when you need 5× faster inference than vLLM with prefix sharing. Powers 300,000+ GPUs at xAI, AMD, NVIDIA, and LinkedIn."
tensorrt-llm,davila7,ai-research,davila7/ai-research/inference-serving-tensorrt-llm,davila7/ai-research/inference-serving-tensorrt-llm/SKILL.md,"Optimizes LLM inference with NVIDIA TensorRT for maximum throughput and lowest latency. Use for production deployment on NVIDIA GPUs (A100/H100), when you need 10-100x faster inference than PyTorch, or for serving models with quantization (FP8/INT4), in-flight batching, and multi-GPU scaling."
serving-llms-vllm,davila7,ai-research,davila7/ai-research/inference-serving-vllm,davila7/ai-research/inference-serving-vllm/SKILL.md,"Serves LLMs with high throughput using vLLM's PagedAttention and continuous batching. Use when deploying production LLM APIs, optimizing inference latency/throughput, or serving models with limited GPU memory. Supports OpenAI-compatible endpoints, quantization (GPTQ/AWQ/FP8), and tensor parallelism."
lambda-labs-gpu-cloud,davila7,ai-research,davila7/ai-research/infrastructure-lambda-labs,davila7/ai-research/infrastructure-lambda-labs/SKILL.md,"Reserved and on-demand GPU cloud instances for ML training and inference. Use when you need dedicated GPU instances with simple SSH access, persistent filesystems, or high-performance multi-node clusters for large-scale training."
modal-serverless-gpu,davila7,ai-research,davila7/ai-research/infrastructure-modal,davila7/ai-research/infrastructure-modal/SKILL.md,"Serverless GPU cloud platform for running ML workloads. Use when you need on-demand GPU access without infrastructure management, deploying ML models as APIs, or running batch jobs with automatic scaling."
skypilot-multi-cloud-orchestration,davila7,ai-research,davila7/ai-research/infrastructure-skypilot,davila7/ai-research/infrastructure-skypilot/SKILL.md,"Multi-cloud orchestration for ML workloads with automatic cost optimization. Use when you need to run training or batch jobs across multiple clouds, leverage spot instances with auto-recovery, or optimize GPU costs across providers."
jira,davila7,ai-research,davila7/ai-research/jira,davila7/ai-research/jira/SKILL.md,"Use when the user mentions Jira issues (e.g., ""PROJ-123""), asks about tickets, wants to create/view/update issues, check sprint status, or manage their Jira workflow. Triggers on keywords like ""jira"", ""issue"", ""ticket"", ""sprint"", ""backlog"", or issue key patterns."
langfuse,davila7,ai-research,davila7/ai-research/langfuse,davila7/ai-research/langfuse/SKILL.md,"Expert in Langfuse - the open-source LLM observability platform. Covers tracing, prompt management, evaluation, datasets, and integration with LangChain, LlamaIndex, and OpenAI. Essential for debugging, monitoring, and improving LLM applications in production. Use when: langfuse, llm observability, "
langgraph,davila7,ai-research,davila7/ai-research/langgraph,davila7/ai-research/langgraph/SKILL.md,"Expert in LangGraph - the production-grade framework for building stateful, multi-actor AI applications. Covers graph construction, state management, cycles and branches, persistence with checkpointers, human-in-the-loop patterns, and the ReAct agent pattern. Used in production at LinkedIn, Uber, an"
llm-app-patterns,davila7,ai-research,davila7/ai-research/llm-app-patterns,davila7/ai-research/llm-app-patterns/SKILL.md,"Production-ready patterns for building LLM applications. Covers RAG pipelines, agent architectures, prompt IDEs, and LLMOps monitoring. Use when designing AI applications, implementing RAG, building agents, or setting up LLM observability."
llm-evaluation,davila7,ai-research,davila7/ai-research/llm-evaluation,davila7/ai-research/llm-evaluation/SKILL.md,"Master comprehensive evaluation strategies for LLM applications, from automated metrics to human evaluation and A/B testing."
llm-ops,davila7,ai-research,davila7/ai-research/llm-ops,davila7/ai-research/llm-ops/SKILL.md,"LLM Operations -- RAG, embeddings, vector databases, fine-tuning, prompt engineering avancado, custos de LLM, evals de qualidade e arquiteturas de IA para producao."
loki-mode,davila7,ai-research,davila7/ai-research/loki-mode,davila7/ai-research/loki-mode/SKILL.md,"Multi-agent autonomous startup system for Claude Code. Triggers on ""Loki Mode"". Orchestrates 100+ specialized agents across engineering, QA, DevOps, security, data/ML, business operations, marketing, HR, and customer success. Takes PRD to fully deployed, revenue-generating product with zero human in"
nnsight-remote-interpretability,davila7,ai-research,davila7/ai-research/mechanistic-interpretability-nnsight,davila7/ai-research/mechanistic-interpretability-nnsight/SKILL.md,"Provides guidance for interpreting and manipulating neural network internals using nnsight with optional NDIF remote execution. Use when needing to run interpretability experiments on massive models (70B+) without local GPU resources, or when working with any PyTorch architecture."
pyvene-interventions,davila7,ai-research,davila7/ai-research/mechanistic-interpretability-pyvene,davila7/ai-research/mechanistic-interpretability-pyvene/SKILL.md,"Provides guidance for performing causal interventions on PyTorch models using pyvene's declarative intervention framework. Use when conducting causal tracing, activation patching, interchange intervention training, or testing causal hypotheses about model behavior."
sparse-autoencoder-training,davila7,ai-research,davila7/ai-research/mechanistic-interpretability-saelens,davila7/ai-research/mechanistic-interpretability-saelens/SKILL.md,"Provides guidance for training and analyzing Sparse Autoencoders (SAEs) using SAELens to decompose neural network activations into interpretable features. Use when discovering interpretable features, analyzing superposition, or studying monosemantic representations in language models."
transformer-lens-interpretability,davila7,ai-research,davila7/ai-research/mechanistic-interpretability-transformer-lens,davila7/ai-research/mechanistic-interpretability-transformer-lens/SKILL.md,"Provides guidance for mechanistic interpretability research using TransformerLens to inspect and manipulate transformer internals via HookPoints and activation caching. Use when reverse-engineering model algorithms, studying attention patterns, or performing activation patching experiments."
ml-engineer,davila7,ai-research,davila7/ai-research/ml-engineer,davila7/ai-research/ml-engineer/SKILL.md,"Build production ML systems with PyTorch 2.x, TensorFlow, and modern ML frameworks. Implements model serving, feature engineering, A/B testing, and monitoring."
ml-paper-writing,davila7,ai-research,davila7/ai-research/ml-paper-writing,davila7/ai-research/ml-paper-writing/SKILL.md,"Write publication-ready ML/AI papers for NeurIPS, ICML, ICLR, ACL, AAAI, COLM. Use when drafting papers from research repos, structuring arguments, verifying citations, or preparing camera-ready submissions. Includes LaTeX templates, reviewer guidelines, and citation verification workflows."
mlflow,davila7,ai-research,davila7/ai-research/mlops-mlflow,davila7/ai-research/mlops-mlflow/SKILL.md,"Track ML experiments, manage model registry with versioning, deploy models to production, and reproduce experiments with MLflow - framework-agnostic ML lifecycle platform"
tensorboard,davila7,ai-research,davila7/ai-research/mlops-tensorboard,davila7/ai-research/mlops-tensorboard/SKILL.md,"Visualize training metrics, debug models with histograms, compare experiments, visualize model graphs, and profile performance with TensorBoard - Google's ML visualization toolkit"
weights-and-biases,davila7,ai-research,davila7/ai-research/mlops-weights-and-biases,davila7/ai-research/mlops-weights-and-biases/SKILL.md,"Track ML experiments with automatic logging, visualize training in real-time, optimize hyperparameters with sweeps, and manage model registry with W&B - collaborative MLOps platform"
